LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1766633906.609679,44479.000,5149,2,AK,1,100,5147
1766633906.609679,44479.000,5149,2,AK,1,100,RD
1766633909.171972,47041.500,5986,2,AK,1,100,5147
1766633911.734264,49604.000,5986,2,AK,1,100,RD
1766633911.750263,49620.000,5989,2,AK,1,100,5987
1766633911.766262,49636.000,5989,2,AK,1,100,RD
1766633914.303556,52173.500,6812,2,AK,1,100,5987
1766633916.840851,54711.000,6812,2,AK,1,100,RD
1766633916.861850,54732.000,6815,2,AK,1,100,6813
1766633916.882848,54753.000,6815,2,AK,1,100,RD
1766633919.415643,57286.000,7639,2,AK,1,100,6813
1766633921.948438,59819.000,7639,2,AK,1,100,RD
1766633921.958937,59829.500,7642,2,AK,1,100,7640
1766633921.969437,59840.000,7642,2,AK,1,100,RD
1766633924.527730,62398.500,8502,2,AK,1,100,7640
1766633927.086023,64957.000,8502,2,AK,1,100,RD
1766633927.094022,64965.000,8505,2,AK,1,100,8503
1766633927.102021,64973.000,8505,2,AK,1,100,RD
1766633929.647816,67519.000,9337,2,AK,1,100,8503
1766633932.193610,70065.000,9337,2,AK,1,100,RD
1766633934.755903,72627.500,10197,2,AK,1,100,9338
1766633937.318195,75190.000,10197,2,AK,1,100,RD
1766633937.319195,75191.000,10199,2,AK,1,100,9338
1766633937.320195,75192.000,10199,2,AK,1,100,RD
1766633937.358692,75230.500,10202,2,AK,1,100,10200
1766633937.397189,75269.000,10202,2,AK,1,100,RD
1766633939.914485,77786.500,11052,2,AK,1,100,10200
1766633942.431782,80304.000,11052,2,AK,1,100,RD
1766633942.459780,80332.000,11055,2,AK,1,100,11053
1766633942.487777,80360.000,11055,2,AK,1,100,RD
1766633945.012573,82885.000,11880,2,AK,1,100,11053
1766633947.537369,85410.000,11880,2,AK,1,100,RD
1766633947.561367,85434.000,11883,2,AK,1,100,11881
1766633947.585365,85458.000,11883,2,AK,1,100,RD
1766633950.114661,87987.500,12706,2,AK,1,100,11881
1766633952.643956,90517.000,12706,2,AK,1,100,RD
1766633952.651955,90525.000,12709,2,AK,1,100,12707
1766633952.659955,90533.000,12709,2,AK,1,100,RD
1766633955.226747,93100.000,13553,2,AK,1,100,12707
1766633957.793540,95667.000,13553,2,AK,1,100,RD
1766633957.813538,95687.000,13556,2,AK,1,100,13554
1766633957.833536,95707.000,13556,2,AK,1,100,RD
1766633960.367332,98241.000,14384,2,AK,1,100,13554
1766633962.901127,100775.000,14384,2,AK,1,100,RD
1766633962.911126,100785.000,14387,2,AK,1,100,14385
1766633962.921125,100795.000,14387,2,AK,1,100,RD
