LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1766633924.715214,62586.000,8093,2,DC,2,100,GX
1766633924.715214,62586.000,8093,2,DC,2,100,1
1766633929.628317,67499.500,9710,2,DC,2,100,GX
1766633934.541420,72413.000,9710,2,DC,2,100,1
1766633934.694408,72566.000,9761,2,DC,2,100,GX
1766633934.847395,72719.000,9761,2,DC,2,100,1
1766633935.000383,72872.000,9813,2,DC,2,100,GX
1766633935.153370,73025.000,9813,2,DC,2,100,1
1766633935.408850,73280.500,9904,2,DC,2,100,GX
1766633935.664329,73536.000,9904,2,DC,2,100,1
1766633935.968305,73840.000,10010,2,DC,2,100,GX
1766633936.272280,74144.000,10010,2,DC,2,100,1
1766633936.678247,74550.000,10145,2,DC,2,100,GX
1766633937.084214,74956.000,10145,2,DC,2,100,1
1766633938.106632,75978.500,10499,2,DC,2,100,GX
1766633939.129049,77001.000,10499,2,DC,2,100,1
1766633939.431025,77303.000,10605,2,DC,2,100,GX
1766633939.733000,77605.000,10605,2,DC,2,100,1
