LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1766633906.605679,44475.000,5148,1,TL,1,100,2025-12-24_19-38-26-599179
1766633911.733264,49603.000,5985,1,TL,1,100,2025-12-24_19-38-26-654269
1766633911.764262,49634.000,5988,1,TL,1,100,2025-12-24_19-38-31-739638
1766633916.839851,54710.000,6811,1,TL,1,100,2025-12-24_19-38-31-820296
1766633916.880848,54751.000,6814,1,TL,1,100,2025-12-24_19-38-36-865855
1766633921.947438,59818.000,7638,1,TL,1,100,2025-12-24_19-38-36-905487
1766633921.968437,59839.000,7641,1,TL,1,100,2025-12-24_19-38-41-959876
1766633927.082023,64953.000,8501,1,TL,1,100,2025-12-24_19-38-41-999565
1766633927.101022,64972.000,8504,1,TL,1,100,2025-12-24_19-38-47-094913
1766633932.192610,70064.000,9336,1,TL,1,100,2025-12-24_19-38-47-173969
1766633937.316195,75188.000,10196,1,TL,1,100,2025-12-24_19-38-52-200436
1766633937.319195,75191.000,10198,1,TL,1,100,2025-12-24_19-38-52-332199
1766633937.396189,75268.000,10201,1,TL,1,100,2025-12-24_19-38-57-330290
1766633942.425782,80298.000,11051,1,TL,1,100,2025-12-24_19-38-57-426265
1766633942.486778,80359.000,11054,1,TL,1,100,2025-12-24_19-39-02-453143
1766633947.536369,85409.000,11879,1,TL,1,100,2025-12-24_19-39-02-517874
1766633947.584365,85457.000,11882,1,TL,1,100,2025-12-24_19-39-07-553083
1766633952.642956,90516.000,12705,1,TL,1,100,2025-12-24_19-39-07-637162
1766633952.657955,90531.000,12708,1,TL,1,100,2025-12-24_19-39-12-650955
1766633957.792540,95666.000,13552,1,TL,1,100,2025-12-24_19-39-12-688010
1766633957.832536,95706.000,13555,1,TL,1,100,2025-12-24_19-39-17-817647
1766633962.900127,100774.000,14383,1,TL,1,100,2025-12-24_19-39-17-866491
1766633962.920125,100794.000,14386,1,TL,1,100,2025-12-24_19-39-22-917285
