LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1766830816.178885,87854.000,5810,2,RD,1,100,TL
1766888325.364264,47513.000,5810,2,RD,1,100,TU
1766884683.016067,50068.000,6650,2,RD,1,100,TL
1766881040.667869,52623.000,6650,2,RD,1,100,TU
1766877396.181306,55179.500,7476,2,RD,1,100,TL
1766873751.694744,57736.000,7476,2,RD,1,100,TU
1766870112.197699,60289.000,8309,2,RD,1,100,TL
1766866472.700655,62842.000,8309,2,RD,1,100,TU
1766862830.352457,65397.000,9143,2,RD,1,100,TL
1766859188.004259,67952.000,9143,2,RD,1,100,TU
1766855547.794426,70505.500,9978,2,RD,1,100,TL
1766851907.584593,73059.000,9978,2,RD,1,100,TU
1766848268.087549,75612.000,10809,2,RD,1,100,TL
1766844628.590504,78165.000,10809,2,RD,1,100,TU
